全国地方公共団体コード,都道府県名,市区町村名,医療機関コード,医療機関名,かかりつけのみ,電話番号,町,所在地1,所在地2,所在地3,所在地_緯度,所在地_経度
221309,静岡県,浜松市,2217211446,小林内科・消化器内科医院,かかりつけのみ,053-474-0110,富塚町,浜松市中区,富塚町1928-8,,34.722515,137.700436
221309,静岡県,浜松市,2217110671,大坂内科医院,かかりつけのみ,053-472-1140,富塚町,浜松市中区,富塚町3002-8,,34.728818,137.691114
221309,静岡県,浜松市,2217106547,さくらクリニック,かかりつけのみ,053-452-6567,布橋三,浜松市中区,布橋3-14-17,,34.719004,137.711697
221309,静岡県,浜松市,2217111364,杉浦内科,,053-471-2723,布橋三,浜松市中区,布橋三丁目9-10,,34.721984,137.711797
221309,静岡県,浜松市,2217211578,杉山循環器クリニック,かかりつけのみ,053-412-2552,布橋二,浜松市中区,布橋2丁目12番43号,,34.719390,137.717864
221309,静岡県,浜松市,2217111497,塩見内科医院,かかりつけのみ,053-452-0785,平田町,浜松市中区,平田町45番地,,34.702511,137.729576
221309,静岡県,浜松市,2217111265,あべクリニック,,053-458-6840,北寺島町,浜松市中区,北寺島町209-5,,34.703212,137.742491
221309,静岡県,浜松市,2217201678,くろいし内科クリニック,かかりつけのみ,053-411-9614,名塚町,浜松市中区,名塚町156-1,,34.702552,137.755889
221309,静岡県,浜松市,2217106588,小沢内科クリニック,,053-462-3255,野口町,浜松市中区,野口町316,,34.717955,137.738165
221309,静岡県,浜松市,2217110721,とみた内科,かかりつけのみ,053-441-7800,領家三,浜松市中区,領家3-25-6,,34.692632,137.753989
221309,静岡県,浜松市,2217201603,よこたこどもクリニック,,053-475-7500,和合町,浜松市中区,和合町27-13,和合メディカルビル2階,34.732200,137.721817
221309,静岡県,浜松市,2217211339,大場クリニック,かかりつけのみ,053-476-8500,和合町,浜松市中区,和合町220-2486,,34.741583,137.705104
221309,静岡県,浜松市,2217106117,恵仁会　田中医院,かかりつけのみ,053-471-0155,和合町,浜松市中区,和合町11-5,,34.731669,137.714865
221309,静岡県,浜松市,2217107115,むこうだか耳鼻咽喉科,かかりつけのみ,053-471-3387,和合北一,浜松市中区,和合北1-3-68,,34.735924,137.721932
221309,静岡県,浜松市,2217201785,佐藤内科医院,かかりつけのみ,053-548-0193,和合北三,浜松市中区,和合北3-5-47,,34.739737,137.715535
221309,静岡県,浜松市,2217106513,多々見クリニック,,053-455-7755,蜆塚一,浜松市中区,蜆塚1-6-7,,34.711312,137.712868
221309,静岡県,浜松市,2217210349,かけい医院,,053-452-8418,蜆塚三,浜松市中区,蜆塚3-8-5,,34.713145,137.707315
221309,静岡県,浜松市,2217211586,北川内科医院,かかりつけのみ,053-450-6565,蜆塚四,浜松市中区,蜆塚4-23-21,,34.712026,137.702907
221309,静岡県,浜松市,2216610150,医療法人社団悦慈会　亀井内科,,053-987-0363,奥領家,浜松市天竜区,水窪町奥領家3330,,35.168202,137.869026
221309,静岡県,浜松市,2216610200,医療法人社団健勝会　鈴木診療院,,053-987-0014,奥領家,浜松市天竜区,水窪町奥領家2632-2-1,,35.159959,137.869267
221309,静岡県,浜松市,2217200670,林クリニック,かかりつけのみ,053-923-0030,横山町,浜松市天竜区,横山町532,,34.942435,137.818239
221309,静岡県,浜松市,2216500427,あたご診療所,,053-973-3911,西藤平,浜松市天竜区,西藤平1527-5,,34.911463,137.759688
221309,静岡県,浜松市,2216510087,医療法人社団象先堂　鈴木医院,かかりつけのみ,053-925-1899,二俣町二俣,浜松市天竜区,二俣町二俣91-1,,34.860992,137.815750
221309,静岡県,浜松市,2216510061,天竜すずかけ病院,かかりつけのみ,053-925-8111,二俣町二俣,浜松市天竜区,二俣町二俣2396-56,,34.857164,137.813845
221309,静岡県,浜松市,2217211354,天竜吉田医院,,053-925-8000,二俣町二俣,浜松市天竜区,二俣町二俣2406-2,,34.870742,137.814228
221309,静岡県,浜松市,2217111646,くまがいクリニック,かかりつけのみ,053-422-2588,下石田町,浜松市東区,下石田町1530,,34.735894,137.782082
221309,静岡県,浜松市,2217210356,吉井医院,,053-421-3223,下石田町,浜松市東区,下石田町1299-1,,34.740791,137.782166
221309,静岡県,浜松市,2220700039,公益財団法人静岡県予防医学協会　浜松健診センター,,053-422-7800,下石田町,浜松市東区,下石田町951,,34.739235,137.787948
221309,静岡県,浜松市,2217106752,さくらクリニック,かかりつけのみ,053-432-0088,笠井新田町,浜松市東区,笠井新田町77,,34.772098,137.790996
221309,静岡県,浜松市,2217112131,しのはら医院,かかりつけのみ,053-435-3838,笠井新田町,浜松市東区,笠井新田町196-1,,34.768179,137.789368
221309,静岡県,浜松市,2217211404,まつむら整形外科,,053-432-8111,笠井新田町,浜松市東区,笠井新田町180-1,,34.769665,137.790266
221309,静岡県,浜松市,2217107099,かねた耳鼻咽喉科医院,,053-435-8733,笠井町,浜松市東区,笠井町1461,,34.765359,137.794757
221309,静岡県,浜松市,2217107016,大須賀医院,かかりつけのみ,053-432-5007,笠井町,浜松市東区,笠井町103,,34.767930,137.799517
221309,静岡県,浜松市,2217210802,たまこしクリニック,かかりつけのみ,053-411-2002,丸塚町,浜松市東区,丸塚町262-1,,34.729668,137.760827
221309,静岡県,浜松市,2217211172,竹下耳鼻咽喉科,かかりつけのみ,053-462-8733,宮竹町,浜松市東区,宮竹町89-1,,34.717279,137.765037
221309,静岡県,浜松市,2217201876,ひらいで消化器・内視鏡クリニック,かかりつけのみ,053-467-1150,原島町,浜松市東区,原島町355-1,,34.732616,137.771529
221309,静岡県,浜松市,2217111562,医療法人社団二葉会中村医院,かかりつけのみ,053-463-1001,原島町,浜松市東区,原島町72-1,,34.726085,137.769074
221309,静岡県,浜松市,2217111018,磯部内科クリニック,,053-463-3127,子安町,浜松市東区,子安町301-10,,34.712082,137.758991
221309,静岡県,浜松市,2217107719,木俣外科消化器科医院,かかりつけのみ,053-463-7807,子安町,浜松市東区,子安町319-1,,34.712685,137.761772
221309,静岡県,浜松市,2217210596,とだ消化器クリニック,,053-421-8111,市野町,浜松市東区,市野町2461-1,,34.742289,137.768473
221309,静岡県,浜松市,2217200118,マツオ脳神経クリニック,かかりつけのみ,053-431-2121,市野町,浜松市東区,市野町290-1,,34.751583,137.771494
221309,静岡県,浜松市,2217200423,ひろせクリニック,かかりつけのみ,053-411-2020,篠ケ瀬町,浜松市東区,篠ケ瀬町211,,34.730570,137.773989
221309,静岡県,浜松市,2217106448,松本医院,かかりつけのみ,053-422-5353,篠ケ瀬町,浜松市東区,篠ケ瀬町1172番地,,34.724956,137.777431
221309,静岡県,浜松市,2217112230,きくち内科クリニック,,053-468-7255,将監町,浜松市東区,将監町12-13,,34.715737,137.754111
221309,静岡県,浜松市,2217200654,ほりべ皮フ科内科,,053-411-5300,小池町,浜松市東区,小池町1566,,34.746773,137.752063
221309,静岡県,浜松市,2217112081,長島内科医院,かかりつけのみ,053-461-6130,小池町,浜松市東区,小池町2659-1,,34.742938,137.757591
221309,静岡県,浜松市,2217210687,おざわ内科,,053-461-5030,上西町,浜松市東区,上西町36-12,,34.720627,137.752384
221309,静岡県,浜松市,2217201926,のずえ内科・呼吸器クリニック,かかりつけのみ,053-467-5700,上西町,浜松市東区,上西町3-8,,34.725278,137.752255
221309,静岡県,浜松市,2217105549,井熊内科,かかりつけのみ,053-435-1313,上石田町,浜松市東区,上石田町2372,,34.752661,137.786120
221309,静岡県,浜松市,2217105507,泌尿器科 重野医院,,053-435-5101,西ケ崎町,浜松市東区,西ケ崎町334,,34.781014,137.771405
221309,静岡県,浜松市,2217112206,穣クリニック,,053-432-4114,西ケ崎町,浜松市東区,西ケ崎町1058,,34.773963,137.768422
221309,静岡県,浜松市,2217210158,岡井内科医院,かかりつけのみ,053-435-1002,積志町,浜松市東区,積志町108番地,,34.772603,137.769093
221309,静岡県,浜松市,2217110614,石井医院,かかりつけのみ,053-434-0673,積志町,浜松市東区,積志町1651-2,,34.765811,137.758304
221309,静岡県,浜松市,2217111422,いわた内科,かかりつけのみ,053-434-3114,大瀬町,浜松市東区,大瀬町2510,,34.756330,137.770527
221309,静岡県,浜松市,2217111687,岡田内科,かかりつけのみ,053-434-6800,大瀬町,浜松市東区,大瀬町875-1,,34.757253,137.759802
221309,静岡県,浜松市,2217111703,浜松北病院,かかりつけのみ,053-435-1111,大瀬町,浜松市東区,大瀬町1568,,34.763279,137.772019
221309,静岡県,浜松市,2217201934,さぎさかクリニック,,053-432-5252,大島町,浜松市東区,大島町187-1,,34.763833,137.780727
221309,静岡県,浜松市,2217201835,小林クリニック,,053-431-1177,中郡町,浜松市東区,中郡町831-2,,34.774232,137.770867
221309,静岡県,浜松市,2217202015,ATSUSHIメディカルクリニック,,053-411-1107,中田町,浜松市東区,中田町691,,34.740940,137.758517
221309,静岡県,浜松市,2217111695,石垣内科医院,かかりつけのみ,053-421-0057,中野町,浜松市東区,中野町1217,,34.728551,137.796191
221309,静岡県,浜松市,2217200068,本康医院,,053-421-0027,中野町,浜松市東区,中野町2061-1,,34.728001,137.797228
221309,静岡県,浜松市,2217111836,金子内科循環器科クリニック,,053-411-0033,天王町,浜松市東区,天王町1757,,34.735857,137.767960
221309,静岡県,浜松市,2217200613,高田眼科,かかりつけのみ,053-466-5551,天王町,浜松市東区,天王町1981-3,イオンモール浜松市野1F,34.740111,137.762831
221309,静岡県,浜松市,2217210620,佐野内科クリニック,,053-422-7777,天王町,浜松市東区,天王町1818,,34.737645,137.769106
221309,静岡県,浜松市,2217210083,ねもと内科クリニック,かかりつけのみ,053-421-8877,天龍川町,浜松市東区,天龍川町1123,,34.721220,137.778955
221309,静岡県,浜松市,2217210950,エルム内科クリニック,かかりつけのみ,053-431-4120,半田山五,浜松市東区,半田山5-17-22,,34.776507,137.741291
221309,静岡県,浜松市,2217200274,いとう耳鼻咽喉科,かかりつけのみ,053-431-5550,半田町,浜松市東区,半田町133-1,,34.777684,137.752167
221309,静岡県,浜松市,2217111356,せのおクリニック,かかりつけのみ,053-435-0121,半田町,浜松市東区,半田町1604-1,,34.764807,137.745356
221309,静岡県,浜松市,2217200894,まつけんクリニック,,053-432-5566,半田町,浜松市東区,半田町155-1,,34.777313,137.752081
221309,静岡県,浜松市,2217210190,山下ハートクリニック,かかりつけのみ,053-435-8800,豊町,浜松市東区,豊町671-1,,34.780956,137.807441
221309,静岡県,浜松市,2217111778,友成医院,,053-434-1152,豊町,浜松市東区,豊町2752-1,,34.770048,137.803326
221309,静岡県,浜松市,2217201553,いわもと痛みのクリニック,,053-434-7711,有玉南町,浜松市東区,有玉南町291番地,,34.756805,137.754759
221309,静岡県,浜松市,2217211503,岡崎内科医院,かかりつけのみ,053-433-5255,有玉南町,浜松市東区,有玉南町1436,,34.752389,137.753367
221309,静岡県,浜松市,2217106257,間宮内科クリニック,かかりつけのみ,053-473-7871,有玉南町,浜松市東区,有玉南町1880,,34.749710,137.749513
221309,静岡県,浜松市,2217201694,いそざきファミリークリニック,かかりつけのみ,053-432-6111,有玉北町,浜松市東区,有玉北町1760-1,,34.760283,137.754625
221309,静岡県,浜松市,2217111869,藤島クリニック,かかりつけのみ,053-434-8850,有玉北町,浜松市東区,有玉北町1995,,34.762872,137.750059
